"FECHA CORTE","DEPTORESIDENCIA","CANTIDAD CREDITOS AL DIA","CANTIDAD CREDITOS CON MORA MENOR A 90 DIAS","CANTIDAD CREDITOS MORA MAYOR A 90 DIAS","TOTAL CREDITOS","SALDO CAPITAL","SALDO TOTAL","SALDO MORA","INDICADOR CARTERA VENCIDA","EPOCA CARTERA"
"2022 Mar 31 12:00:00 AM","VAUPES","0","1","2","3","$ 14,629,091","$ 16,111,879","$ 3,268,641","100%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","VICHADA","19","12","15","46","$ 554,822,061","$ 578,488,133","$ 61,244,171","34.21%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","SUCRE","3,355","1,954","1,951","7,260","$ 75,700,773,505","$ 78,230,689,291","$ 5,505,018,539","31.56%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","GUAINIA","46","24","14","84","$ 1,013,145,826","$ 1,058,404,047","$ 62,513,259","27.4%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","AMAZONAS","106","54","40","200","$ 3,246,272,835","$ 3,367,910,123","$ 164,058,506","24.85%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CORDOBA","4,320","2,168","1,512","8,000","$ 108,711,818,623","$ 112,164,188,852","$ 4,685,756,020","22.74%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","LA GUAJIRA","800","405","249","1,454","$ 26,686,416,029","$ 27,805,394,541","$ 1,321,529,779","22.72%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","ARAUCA","895","420","213","1,528","$ 16,397,360,237","$ 16,946,231,771","$ 675,411,018","21.68%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","MAGDALENA","1,545","804","448","2,797","$ 42,405,327,719","$ 44,246,506,655","$ 1,599,720,162","20.41%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","BOLIVAR","5,011","2,403","1,662","9,076","$ 108,151,820,769","$ 113,827,997,229","$ 5,095,279,489","20.24%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","PUTUMAYO","1,186","534","336","2,056","$ 21,315,214,407","$ 22,200,287,252","$ 1,133,437,218","19.58%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CHOCO","101","47","30","178","$ 2,101,925,826","$ 2,173,133,866","$ 98,067,038","19.35%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","META","2,224","941","612","3,777","$ 48,917,494,026","$ 50,664,928,556","$ 2,673,038,383","18.69%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CASANARE","1,297","645","278","2,220","$ 24,801,775,412","$ 25,663,207,077","$ 945,445,712","17.7%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","ATLANTICO","10,329","4,381","2,495","17,205","$ 319,961,832,111","$ 330,427,845,247","$ 10,886,808,427","17.63%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CESAR","1,216","562","344","2,122","$ 32,469,032,127","$ 34,807,621,844","$ 1,243,844,116","17.49%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","SIN INFORMACION","41","10","19","70","$ 909,586,173","$ 971,964,501","$ 63,421,466","16.78%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CAQUETA","815","359","156","1,330","$ 11,265,300,785","$ 11,515,749,194","$ 347,277,268","16.46%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","NORTE DE SANTANDER","3,173","1,161","550","4,884","$ 59,204,894,803","$ 61,206,492,052","$ 1,937,770,276","16.28%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CAUCA","3,050","1,175","516","4,741","$ 51,734,339,056","$ 53,531,553,425","$ 1,458,684,472","14.52%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","GUAVIARE","205","93","49","347","$ 2,988,302,531","$ 3,053,655,685","$ 124,947,500","13.95%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","RISARALDA","3,241","968","378","4,587","$ 54,663,786,487","$ 56,216,433,678","$ 1,427,417,116","13.04%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","HUILA","2,359","826","336","3,521","$ 40,471,848,171","$ 43,231,634,740","$ 1,132,111,342","11.89%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","SANTANDER","7,612","2,723","974","11,309","$ 158,077,560,988","$ 163,126,022,908","$ 4,123,300,953","11.88%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","QUINDIO","1,938","638","212","2,788","$ 33,109,483,733","$ 34,020,714,812","$ 755,559,247","11.17%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","BOYACA","3,485","1,325","407","5,217","$ 78,716,590,936","$ 81,168,798,918","$ 1,758,194,614","10.94%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","TOLIMA","3,518","1,250","439","5,207","$ 60,940,107,349","$ 62,598,393,786","$ 1,425,534,645","10.8%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","NARINO","4,188","1,344","500","6,032","$ 68,920,106,272","$ 70,444,425,014","$ 1,504,464,049","10.6%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","ANTIOQUIA","10,453","3,321","1,137","14,911","$ 233,114,171,277","$ 239,124,468,040","$ 4,760,281,098","10.39%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","VALLE DEL CAUCA","12,526","3,763","1,377","17,666","$ 332,115,219,239","$ 340,139,734,409","$ 6,805,675,594","9.98%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CALDAS","3,019","840","304","4,163","$ 59,126,112,076","$ 60,722,456,274","$ 1,095,591,848","9.81%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","CUNDINAMARCA","7,795","2,165","679","10,639","$ 188,002,125,544","$ 196,528,983,530","$ 3,402,575,281","8.43%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","DISTRITO CAPITAL","36,936","9,457","2,898","49,291","$ 986,392,120,932","$ 1,014,715,947,836","$ 17,034,319,155","7.57%","AMORTIZACION"
"2022 Mar 31 12:00:00 AM","EXTRANJERO","12","1","1","14","$ 527,701,457","$ 534,541,038","$ 1,350,832","2.74%","AMORTIZACION"
